".id","iso3c","PC1","PC2","labels","join.on"
"Political","BEL",3.3,0.66,"G","Political G"
"Political","BEN",-0.1,-0.06,"E","Political E"
"Political","BFA",-1.07,0.81,"D","Political D"
"Political","BGD",-2.15,-0.07,"A","Political A"
"Political","BGR",0.5,0,"E","Political E"
"Political","BHR",-0.76,-0.02,"C","Political C"
"Political","BIH",0.47,-0.03,"E","Political E"
"Political","BLR",-2.28,-0.94,"B","Political B"
"Political","BOL",0.06,0.62,"D","Political D"
"Political","BRA",1.22,1.6,"F","Political F"
"Political","BRB",3.26,0.05,"H","Political H"
"Political","BTN",1.35,0.45,"G","Political G"
"Political","BWA",2.01,0.47,"G","Political G"
"Political","CAF",-3.18,0.36,"A","Political A"
"Political","CAN",4.2,-1.02,"H","Political H"
"Political","CHE",5.24,-2.18,"H","Political H"
"Political","CHL",2.23,0.15,"G","Political G"
"Political","CHN",-2.33,-2.04,"B","Political B"
"Political","CIV",-1.47,0.1,"C","Political C"
"Political","CMR",-2.59,-1.05,"B","Political B"
"Political","COD",-3.54,-0.75,"A","Political A"
"Political","COG",-1.71,0.31,"C","Political C"
"Political","COL",0.57,1.31,"F","Political F"
"Political","COM",-0.51,0.33,"C","Political C"
"Political","CPV",1.46,0.61,"G","Political G"
"Political","CRI",2.98,-0.93,"G","Political G"
"Political","CUB",-1.81,-1.4,"B","Political B"
"Political","CYP",2.63,0.37,"G","Political G"
"Political","CZE",2.65,0.95,"G","Political G"
"Political","DEU",3.54,0.44,"G","Political G"
"Political","DJI",-2.29,-0.55,"B","Political B"
"Political","DNK",4.34,-0.5,"H","Political H"
"Political","DOM",-0.34,-0.39,"C","Political C"
"Political","DZA",-1.67,-1.04,"B","Political B"
"Political","ECU",-0.95,0.26,"C","Political C"
"Political","EGY",-3.32,-0.66,"A","Political A"
"Political","ERI",-4.59,-0.6,"A","Political A"
"Political","ESP",2.63,0.39,"G","Political G"
"Political","EST",2.76,0.01,"G","Political G"
"Political","ETH",-2.88,0.14,"A","Political A"
"Political","FIN",4.15,-0.57,"H","Political H"
"Political","FJI",-0.12,-0.68,"C","Political C"
"Political","FRA",3.24,0.48,"G","Political G"
"Political","GAB",-1.82,-0.77,"B","Political B"
"Political","GBR",4.25,-0.76,"H","Political H"
"Political","GEO",0.65,0,"E","Political E"
"Political","GHA",0.53,0.32,"E","Political E"
"Political","GIN",-2.8,0.21,"A","Political A"
"Political","GMB",-2.36,0.34,"A","Political A"
"Political","GNB",-2.08,-0.36,"B","Political B"
"Political","GRC",1.81,0.96,"G","Political G"
"Political","GTM",-0.87,-0.2,"C","Political C"
"Political","GUY",-0.12,0.61,"D","Political D"
"Political","HND",-0.47,-0.23,"C","Political C"
"Political","HRV",1.92,0.5,"G","Political G"
"Political","HTI",-1.43,0.89,"C","Political C"
"Political","HUN",1.96,0.49,"G","Political G"
"Political","IDN",0.49,1.63,"F","Political F"
"Political","IND",0.71,1.67,"F","Political F"
"Political","IRL",2.93,-1.8,"G","Political G"
"Political","IRN",-1.89,-0.08,"A","Political A"
"Political","IRQ",-1.63,2,"D","Political D"
"Political","ISL",2.87,-1.51,"G","Political G"
"Political","ISR",1.59,0.94,"G","Political G"
"Political","ITA",2.26,0.04,"G","Political G"
"Political","JAM",0.5,-0.27,"E","Political E"
"Political","JOR",-1.02,-1.04,"C","Political C"
"Political","JPN",3.42,-0.14,"H","Political H"
"Political","KAZ",-2.28,-1.42,"B","Political B"
"Political","KEN",-1,1.75,"D","Political D"
"Political","KGZ",-0.91,0.34,"C","Political C"
"Political","KHM",-2.33,-0.63,"B","Political B"
"Political","KOR",1.97,0.9,"G","Political G"
"Political","KWT",-0.09,-0.59,"C","Political C"
"Political","LAO",-1.81,-1.48,"B","Political B"
"Political","LBN",-1.22,-0.53,"C","Political C"
"Political","LBR",-0.68,0.73,"D","Political D"
"Political","LBY",-1.69,0.67,"C","Political C"
"Political","LKA",-1.1,0.45,"C","Political C"
"Political","LSO",0.25,0.32,"E","Political E"
"Political","LTU",1.95,-0.42,"G","Political G"
"Political","LUX",3.78,-0.32,"H","Political H"
"Political","LVA",1.4,-0.58,"G","Political G"
"Political","MAR",-0.61,0.29,"C","Political C"
"Political","MDA",0.73,1.07,"F","Political F"
"Political","MDG",-1.53,-0.44,"C","Political C"
"Political","MDV",-0.49,-0.31,"C","Political C"
"Political","MEX",-0.14,1.06,"D","Political D"
"Political","MKD",-1.01,-1.1,"C","Political C"
"Political","MLI",-1.35,1.8,"D","Political D"
"Political","MMR",-2.07,1.14,"A","Political A"
"Political","MNE",0.53,-0.49,"E","Political E"
"Political","MNG",0.75,0.68,"F","Political F"
"Political","MOZ",-1.27,-0.3,"C","Political C"
"Political","MRT",-2.51,0.15,"A","Political A"
"Political","MUS",1.33,-0.53,"G","Political G"
"Political","MWI",-0.52,-0.21,"C","Political C"
"Political","MYS",-0.6,0.01,"C","Political C"
"Political","NAM",0.79,-0.41,"E","Political E"
"Political","NER",0.07,1.22,"D","Political D"
"Political","NGA",-0.87,2.2,"D","Political D"
"Political","NIC",-0.83,0.31,"C","Political C"
"Political","NLD",4.05,-0.68,"H","Political H"
"Political","NOR",4.33,-0.41,"H","Political H"
"Political","NPL",-0.33,0.77,"D","Political D"
"Political","NZL",4.6,-1.71,"H","Political H"
"Political","OMN",-0.56,-0.51,"C","Political C"
"Political","PAK",-1.15,1.64,"D","Political D"
"Political","PAN",1.47,-0.38,"G","Political G"
"Political","PER",0.65,1.28,"F","Political F"
"Political","PHL",0.78,1.5,"F","Political F"
"Political","PNG",-0.55,1.43,"D","Political D"
"Political","POL",2.7,0.77,"G","Political G"
"Political","PRK",-4.22,-0.99,"A","Political A"
"Political","PRT",2.86,0.56,"G","Political G"
"Political","PRY",0.13,0.57,"D","Political D"
"Political","PSE",-1.67,-0.42,"C","Political C"
"Political","QAT",-0.15,-2.12,"B","Political B"
"Political","ROU",1.61,1.1,"G","Political G"
"Political","RUS",-2.33,-0.34,"B","Political B"
"Political","RWA",-1.14,-0.14,"C","Political C"
"Political","SAU",-1.09,-3.06,"B","Political B"
"Political","SDN",-4.12,1.25,"A","Political A"
"Political","SEN",-0.23,0.89,"D","Political D"
"Political","SGP",2.83,-0.61,"G","Political G"
"Political","SLB",0.78,0.95,"F","Political F"
"Political","SLE",-1.36,0.43,"C","Political C"
"Political","SLV",0.21,0.02,"E","Political E"
"Political","SOM",-3.97,1.21,"A","Political A"
"Political","SRB",1.28,0.88,"F","Political F"
"Political","SSD",-3.28,1.23,"A","Political A"
"Political","STP",1.05,1.06,"F","Political F"
"Political","SUR",1.43,0.5,"G","Political G"
"Political","SVK",2.34,0.92,"G","Political G"
"Political","SVN",2.27,-0.77,"G","Political G"
"Political","SWE",4.49,-1.2,"H","Political H"
"Political","SWZ",-1.54,-1.2,"B","Political B"
"Political","SYC",0.15,-1.26,"E","Political E"
"Political","SYR",-3.87,-0.93,"A","Political A"
"Political","TCD",-3.24,-0.84,"A","Political A"
"Political","TGO",-1.47,-0.72,"C","Political C"
"Political","THA",-1.67,-0.81,"B","Political B"
"Political","TJK",-2.86,-1.34,"B","Political B"
"Political","TKM",-3.56,-1.32,"A","Political A"
"Political","TLS",-0.76,-0.05,"C","Political C"
"Political","TTO",0.9,-0.4,"E","Political E"
"Political","TUN",0.72,0.57,"F","Political F"
"Political","TUR",-0.48,-0.18,"C","Political C"
"Political","TZA",-0.73,0.73,"D","Political D"
"Political","UGA",-0.75,1.42,"D","Political D"
"Political","UKR",-1.28,0.13,"C","Political C"
"Political","URY",3.09,0.25,"G","Political G"
"Political","USA",4.22,-1.41,"H","Political H"
"Political","UZB",-2.48,-0.85,"B","Political B"
"Political","VEN",-2.05,0.11,"A","Political A"
"Political","VNM",-1.33,-0.58,"C","Political C"
"Political","VUT",0.96,-0.17,"E","Political E"
"Political","YEM",-3.6,0.73,"A","Political A"
"Political","ZAF",1.21,1.08,"F","Political F"
"Political","ZMB",-0.26,1.04,"D","Political D"
"Political","ZWE",-2.12,-0.44,"B","Political B"
"Security","AFG",-5.15,-2.65,"B","Security B"
"Security","AGO",-0.32,0.86,"E","Security E"
"Security","ALB",1.21,-0.63,"H","Security H"
